RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.07104394781342133,1.0233360601984256,0.0,0.4425854740495813,0.5,-1.0,0.14090638211832368,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.028939276342747185,0.21880419558689887,0.0,0.5467202228569001,0.5,-0.06858899064976287,-0.14668747535802892,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.036035399595177785,0.25393750792545294,0.0,0.5527272740773206,0.5,-0.1553021713192487,-0.390654659656304,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.0309237224987902,0.5744218692764133,0.0,0.4448098816450764,0.5,-0.4535989777635626,-0.08861454896062418,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.10043637014356592,0.234709443376896,0.18095366226520662,2.104217197600903,0.5,-1.0,5.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.028749727796746796,0.2682315001948132,0.0,0.7359916211305161,0.5,-0.13312163531290236,0.04771368885701351,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.055730106069225675,0.5058557428627943,0.0,1.239366255314634,0.5,-1.0,-0.3558048230037264,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.027798088967372576,0.0889974113929663,0.0,0.4722290691136857,0.5,0.15560138748669408,-0.4476413462751713,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.024982504650209583,0.12532621338127856,0.0,0.5094477724183564,0.5,0.10285187839512645,-0.36005798950879425,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.0013621148102990104,0.5230369580735211,0.5717448341948824,0.5357188004787108,0.5,-0.23090983437767965,0.1028710052685187,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.04109362148431669,0.6258512503106866,0.0,0.4817939922202354,0.5,-0.1870151525365648,-0.10826028190353884,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.03597888377392655,0.4302998387292827,0.0,1.2954057342139602,0.5,0.01919092419659984,-0.30882151621504683,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.03149952616279307,0.316925816391381,0.0,0.8835616200312912,0.5,-0.3209519020403621,0.11609177710366254,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.035113116349169665,0.31325728815397,0.0,0.5659606346997276,0.5,-0.04908404706394346,-0.46731606453716756,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.006975796088599622,0.2153179567961802,0.33544797529096193,0.358262538709692,0.5,0.5645086163507476,2.9486811535897908,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.037484932526673696,0.21656905054745412,0.0,0.556702391065925,0.5,0.02666253017388786,-0.16017017047799678,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
