RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.06060961799916265,0.5097579840235046,0.1606039789969607,0.7915965576989272,0.5,-0.4364047263649903,-1.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.027508224876695204,0.29698185662124593,0.0,0.5374477569370808,0.5,-0.02869658961151408,-1.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.049286039812465696,0.0,0.0,0.4551873332754759,0.5,0.5141799984601425,-1.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.04076050829942606,0.16920560911083868,0.0,0.3026197569201632,0.5,0.554477254343729,-1.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.08764371227932224,0.6050218709773024,0.4637920643685648,1.367369003886804,0.5,-1.0,-1.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.044518154066176215,0.0292468326738984,0.0,0.4901139107235754,0.5,0.5112234472384745,-1.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.05491995714468886,0.43947568534445497,0.3791095794291859,0.7824270898485144,0.5,0.3147391729997991,-1.0,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.01051969301857712,0.49174255828839036,0.9852913267209706,0.6142390265178467,0.5,-0.6965710237846542,-1.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.012085670092352193,0.5347435152067586,0.8688159718224397,0.5887691549798411,0.5,-0.7019178514958958,-1.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.014207059584007647,0.8731997274156557,1.5640761749639862,0.6317161889200216,0.5,-1.0,-0.8839554820712835,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.04439544710830139,0.4240893270763712,0.0,0.37876620930433236,0.5,0.3857603561297209,-0.7258931724078523,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.036264148626516425,0.4686625842764382,0.0,1.381967702672405,0.5,-0.16122868092431825,-0.35947681924223707,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.04238810237282052,0.1325527679620865,0.0,0.6295548390264635,0.5,0.4785976422225885,-1.0,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.052879650088574,0.08179061490480356,0.0,0.4589460258709529,0.5,0.4937380094921445,-1.0,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.02730851609139844,0.8959861783389818,1.3363215930078576,0.4338542692701329,0.5,-0.8794167847147678,-1.0,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.051157245090021064,0.04919197919660855,0.0,0.4310353253741294,0.5,0.46430714693910635,-1.0,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.0521841410230015,0.37325335763563555,0.0,0.9852381239364103,0.5,-0.18282005463992895,-0.5607496419361482,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.017566789368015125,0.7282283918695224,1.197655441929861,0.6214771225277731,0.5,-1.0,-1.0,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.01804094242555748,0.019576913274506655,0.04778585826429705,2.0072706113882006,0.5,-1.0,-1.0,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.08812047456274459,0.0005410800941006001,0.002823945087319467,0.0013713633555523465,0.5,2.302539697461009,-0.9971978072053727,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
679,Gene,0.15982300180122092,0.2,1.01,0.8848465549520592,0.5,0.0,0.0,20.0
680,Global,0.03892699509036934,0.0553766755897112,0.0,1.0056567672701902,0.5,0.0,0.0,20.000043859841906
680,Gene,0.051053872316193655,0.0,0.0,0.4296266641757285,0.5,0.4560968012412464,-1.0,20.0
684,Global,0.026599482410692123,0.7488097496509969,0.8904636648886609,1.646460152017027,0.5,0.0,0.0,20.00001795325228
684,Gene,0.04701791909701761,1.760503803895342,1.4691675267094728,0.9100484935974927,0.5,-1.0,-1.0,20.0
731,Global,0.008415486735365234,0.7108357224860091,0.9497165447161138,1.5161567157565954,0.5,0.0,0.0,19.99995241508689
731,Gene,0.023324887281055345,0.7626047350120916,1.7043161921119165,2.1626126110104864,0.5,-1.0,-1.0,20.0
734,Global,0.07917333037837884,0.04,1.01,0.9950129780631475,0.5,0.0,0.0,20.0
734,Gene,0.07917333037837884,0.2,1.01,0.5083498429972566,0.5,0.0,0.0,20.0
