RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.05638016027680699,0.37231915335165183,0.0,0.6033809274172797,0.5,0.025564397335545507,-0.030781818882289536,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.040425004970286414,0.5543690711632743,0.0,0.6945236560844331,0.5,-0.9503189957200914,0.5368701197075383,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.04717474483402267,0.5148808575006185,0.0,0.6536778542792049,0.5,-0.7551025996783414,0.28795841574899367,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.03781677894333666,0.7024586164485227,0.0,0.409596036089948,0.5,-0.6682137875641384,0.31930631405734666,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.09302361178104508,0.04350092988093631,0.061420310253702634,0.3793415483593557,0.5,2.431932387411958,-0.7992353056792032,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.03529134444425068,0.47958340761957086,0.0,0.6626669448390722,0.5,-0.5136057594583453,0.24965400683189248,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.05239209367778124,0.0,0.0,0.7819771805457663,0.5,0.9932354590975917,-0.5654926640368663,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.008663678026756532,0.42363088882075894,0.28887598255588676,0.5723103767979627,0.5,-1.0,0.3300523971560726,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.007915127411345846,0.6240728251951557,0.4277861211691686,0.604870962312163,0.5,-0.9365862229449601,0.5440677760584195,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.004108049722600959,0.8417992827711458,0.7526429042695901,0.6736111780068015,0.5,-1.0,-0.44387023103728623,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.042195417536439024,0.6522007687874906,0.0,0.5218678833331314,0.5,-0.2897778945687093,-0.053729678646698795,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.038486051615955905,0.0,0.0,1.166545452183027,0.5,1.1622745630188704,-0.9509504530745733,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.036058665032522474,0.47318727112612186,0.0,1.151759046656967,0.5,-0.8226072277618345,0.15205659212569492,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.009689082054019724,0.44476263375808595,0.7919741938008938,0.5973865604774152,0.5,-0.1230993424467697,0.0917111910550832,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.008013587278131212,0.925312427939955,0.7254445866580108,0.4198143058195386,0.5,-0.943143203698932,0.4417060877436813,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.048435402958864865,0.5645504893463104,0.0,0.6650911480613367,0.5,-0.7566861814995367,0.1783544988144539,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.05417471329018692,0.003196588186812375,0.0,0.7281862267346912,0.5,1.1814683602967537,-0.6484988666855332,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.005338006597079515,0.697933205721217,0.45354460176178446,0.6442090853854114,0.5,-1.0,0.5232149656541333,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.018487129368144624,0.0,0.0,0.5877032337309911,0.5,1.534338470586297,-1.0,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.07619230171965602,0.08408879495797515,9.374416812021102e-10,4.552401444846271e-10,0.5,-0.9943061513775462,-0.27545798648169617,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
679,Gene,0.15982300180122092,0.2,1.01,0.8848465549520592,0.5,0.0,0.0,20.0
680,Global,0.03892699509036934,0.0553766755897112,0.0,1.0056567672701902,0.5,0.0,0.0,20.000043859841906
680,Gene,0.04428932176164118,0.34683999230583623,0.0,0.5690971010801429,0.5,-0.3675474046378388,-0.03951407940934306,20.0
684,Global,0.026599482410692123,0.7488097496509969,0.8904636648886609,1.646460152017027,0.5,0.0,0.0,20.00001795325228
684,Gene,0.02850159925795926,1.2054935056091498,1.103576383733687,1.8344566604417814,0.5,-1.0,0.7374600572287834,20.0
731,Global,0.008415486735365234,0.7108357224860091,0.9497165447161138,1.5161567157565954,0.5,0.0,0.0,19.99995241508689
731,Gene,0.010040778997629132,1.1588871204592486,1.1070307990056059,1.6317352277778667,0.5,-0.5299073718926739,0.6980870228529505,20.0
