RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.1930537394292118,0.0,0.15129713856794222,0.08936284887655142,0.5,2.2853419228696144,-1.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.08978707976934328,0.26228946486164395,0.6006597189978781,0.5170179613781608,0.5,0.016591120035662255,-1.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.11210501559689577,0.0,0.07451150976626862,0.30679815500538793,0.5,0.7775331480070334,-1.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.1326837864007719,0.0,0.06787332112073584,0.14580866874585482,0.5,1.1009023800719564,-1.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.1713832835616819,0.40520976551723636,1.1985366149880397,0.6001597420284361,0.5,1.088167639304235,-1.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.12567817873341888,0.8501647167316211,1.8889966277639274,0.6528228480692884,0.5,-1.0,-1.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.07459348625085672,0.13160873451035585,0.1197658754054194,0.33650000628707194,0.5,2.0556321110169615,-1.0,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.13265641797393912,0.6902406777257314,1.8610270347234998,0.7217003821421422,0.5,-1.0,-1.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.14535896097202647,0.011106399370267339,1.8373114421973824,0.7093762161895837,0.5,-1.0,-1.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.1249484743713011,0.7833394739998147,1.8109404833306162,1.2760708295543164,0.5,-1.0,-1.0,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.066117649279374,1.089485121970117,1.5220125147618357,0.6649273242218586,0.5,-1.0,-1.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.04009919156474176,0.6024308050414079,0.0,1.5654606269773623,0.5,-0.7078027758310377,-0.3103971343103348,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.07949944051799526,0.13297821275823635,0.31524793291923375,0.5289698888658534,0.5,0.5425487376872854,-1.0,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.1587077972555903,0.8377561172918082,1.7207352679199142,0.8003303658040032,0.5,-1.0,-1.0,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.1064484686749701,0.8091663347971498,1.3757619127774896,0.602408787943206,0.5,-0.6600246578231412,-1.0,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.08973719494507297,0.31667760501394754,0.5473980339648881,0.5460834392467174,0.5,-0.03577849834520576,-1.0,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.06913041783244632,0.3845701868239586,0.6546246524502948,0.8605055184435372,0.5,0.39282668226582845,-1.0,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.1489404317963548,0.8000931156486126,1.7629003999623813,0.5664035975005995,0.5,-1.0,-1.0,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.03288062577370305,0.261700243452715,1.0144136722328725,0.8762519572829098,0.5,0.5169922880596495,-1.0,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.15352983835447734,1.6006863252638513e-05,0.0001548822963925192,1.4049571145214015e-09,0.5,4.9912309434704865,-0.999999997026469,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
679,Gene,0.15982300180122092,0.2,1.01,0.8848465549520592,0.5,0.0,0.0,20.0
680,Global,0.03892699509036934,0.0553766755897112,0.0,1.0056567672701902,0.5,0.0,0.0,20.000043859841906
680,Gene,0.12595454144164875,0.699945458809389,1.8847356938926325,0.7783189714992236,0.5,-1.0,-1.0,20.0
684,Global,0.026599482410692123,0.7488097496509969,0.8904636648886609,1.646460152017027,0.5,0.0,0.0,20.00001795325228
684,Gene,0.03711906294155766,1.030051008159554,1.4903760542577844,2.2678439195701636,0.5,-1.0,0.46623279095344516,20.0
731,Global,0.008415486735365234,0.7108357224860091,0.9497165447161138,1.5161567157565954,0.5,0.0,0.0,19.99995241508689
731,Gene,0.02421702478735532,0.9298892573490543,2.3775281933120205,2.301101494004176,0.5,-1.0,0.77398284939086,20.0
734,Global,0.07917333037837884,0.04,1.01,0.9950129780631475,0.5,0.0,0.0,20.0
734,Gene,0.07917333037837884,0.2,1.01,0.5083498429972566,0.5,0.0,0.0,20.0
751,Global,0.07458369494566951,0.1542766052015056,0.0,1.226024451382965,0.5,0.0,0.0,19.99950352241942
751,Gene,0.1100214629368694,0.38714052104705354,0.4513486488456557,0.7039754444910307,0.5,0.25746923141460015,-1.0,20.0
